Sector	X	Y	Total number amphibians	Olive grooves (ha)	Distance to Natural Park (m)
					
Sector	X	Y	TOT_N	OLIVE	D_PARK
1	260181	256546	22	"60,333"	"250,214"
2	259914	256124	14	"40,832"	"741,179"
3	259672	255688	65	"23,710"	"1240,08"
4	259454	255238	55	"14,940"	"1739,885"
5	259307	254763	88	"35,353"	"2232,13"
6	259189	254277	104	"17,666"	"2724,089"
7	259092	253786	49	"9,786"	"3215,511"
8	258993	253296	66	"1,619"	"3709,401"
9	258880	252809	26	"0,603"	"4206,477"
10	258767	252322	47	"0,000"	"4704,176"
11	258653	251835	35	"0,457"	"5202,328"
12	258540	251348	55	"2,223"	"5700,669"
13	258426	250861	44	"0,745"	"6199,342"
14	258313	250374	30	"0,000"	"6698,151"
15	258260	249879	33	"4,474"	"7187,762"
16	258262	249379	29	"0,000"	"7668,833"
17	258264	248880	34	"1,895"	"8152,155"
18	258282	248380	64	"0,000"	"8633,224"
19	258350	247885	76	"0,462"	"9101,411"
20	258417	247389	32	"0,000"	"9573,578"
21	258486	246894	34	"0,000"	"10047,63"
22	258556	246399	32	"0,000"	"10523,939"
23	258625	245904	35	"0,000"	"11002,496"
24	258694	245409	22	"0,000"	"11482,896"
25	258705	244910	34	"0,000"	"11976,232"
26	258694	244412	25	"0,000"	"12470,968"
27	258684	243912	18	"0,000"	"12968,285"
28	258673	243412	14	"0,000"	"13465,914"
29	258678	242913	14	"0,000"	"13961,321"
30	258792	242426	7	"0,000"	"14432,954"
31	258911	241941	7	"0,000"	"14904,995"
32	259032	241456	17	"0,000"	"15377,983"
33	259148	240969	10	"0,891"	"15854,389"
34	259251	240480	3	"8,037"	"16335,936"
35	259378	239998	6	"0,000"	"16810,109"
36	259622	239562	5	"0,000"	"17235,045"
37	259846	239117	2	"0,000"	"17673,064"
38	259906	238621	3	"1,125"	"18167,269"
39	259999	238130	2	"5,055"	"18656,949"
40	260078	237636	2	"0,021"	"19149,507"
41	260136	237140	7	"0,000"	"19645,717"
42	260193	236643	3	"0,000"	"20141,987"
43	260178	236144	5	"6,104"	"20640,729"
44	260133	235647	4	"1,628"	"21138,903"
45	260201	235154	7	"22,757"	"21631,542"
46	260311	234666	12	"29,752"	"22119,102"
47	260370	234172	7	"22,757"	"22613,647"
48	260360	233672	14	"6,362"	"23113,45"
49	260306	233179	10	"2,002"	"23606,088"
50	260071	232739	4	"17,712"	"24046,886"
51	259768	232345	11	"20,406"	"24444,874"
52	259521	231911	3	"22,472"	"24884,803"
