name,time_up,price,year_product,style,status,origin,KM,local,box_car,fuel
VinFast LUX A2.0  2021,18/11/2021,681000000,2021,Sedan,Mới,Trong nước,0,Tp.HCM,Số tự động,Xăng
VinFast LUX A2.0  2021,18/11/2021,881000000,2021,Sedan,Mới,Trong nước,0,Bình Dương,Số tự động,Xăng
VinFast LUX A2.0  2021,18/11/2021,881000000,2021,Sedan,Mới,Trong nước,0,Tp.HCM,Số tự động,Xăng
Toyota Corolla Cross  2021,18/11/2021,720000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Toyota Fortuner  2021,18/11/2021,995000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,
Hyundai Tucson  2021,18/11/2021,755000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Hyundai Santa Fe  2021,18/11/2021,1010000000,2021,SUV,Mới,Trong nước,0,Tp.HCM,Số tự động,Xăng
VinFast LUX SA2.0  2021,18/11/2021,1071000000,2021,SUV,Mới,Trong nước,0,Tp.HCM,Số tự động,Xăng
VinFast LUX SA2.0  2021,18/11/2021,1026000000,2021,SUV,Mới,Trong nước,0,Ninh Bình,Số tự động,Xăng
Suzuki XL7  2021,18/11/2021,589000000,2021,SUV,Mới,Nhập khẩu,0,Khánh Hòa,Số tự động,Xăng
VinFast LUX SA2.0  2021,18/11/2021,826000000,2021,SUV,Mới,Trong nước,0,Bình Định,Số tự động,Xăng
VinFast LUX SA2.0  2021,18/11/2021,826000000,2021,SUV,Mới,Trong nước,0,Hải Phòng,Số tự động,Xăng
VinFast LUX A2.0  2021,18/11/2021,681000000,2021,Sedan,Mới,Trong nước,0,Hà Nam,Số tự động,Xăng
Honda CR-V  2021,18/11/2021,879000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,Xăng
Toyota Raize  2021,18/11/2021,527000000,2021,CUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
VinFast LUX SA2.0  2021,18/11/2021,826000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,Xăng
Honda CR-V  2021,18/11/2021,998000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,Xăng
VinFast LUX SA2.0  2021,18/11/2021,826000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,Xăng
Ford Ranger  2021,18/11/2021,616000000,2021,Pick-up Truck,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Diesel
Hyundai Santa Fe  2021,18/11/2021,1010000000,2021,SUV,Mới,Trong nước,0,Lai Châu,Số tự động,
MG ZS  2021,18/11/2021,519000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
MG ZS  2021,18/11/2021,519000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
VinFast LUX SA2.0  2021,17/11/2021,826000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,Xăng
VinFast LUX SA2.0  2021,17/11/2021,826000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,
VinFast LUX SA2.0  2021,17/11/2021,826000000,2021,SUV,Mới,Trong nước,0,Lào Cai,Số tự động,Xăng
VinFast LUX A2.0  2021,17/11/2021,881000000,2021,Sedan,Mới,Trong nước,0,Bắc Giang,Số tự động,Xăng
VinFast LUX A2.0  2021,17/11/2021,881000000,2021,Sedan,Mới,Trong nước,0,Hà Nội,Số tự động,Xăng
VinFast LUX SA2.0  2021,17/11/2021,919000000,2021,SUV,Mới,Trong nước,0,Tp.HCM,Số tự động,Xăng
Mazda CX-5  2021,17/11/2021,809000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,Xăng
VinFast LUX SA2.0  2021,17/11/2021,1119000000,2021,SUV,Mới,Trong nước,0,Tp.HCM,Số tự động,Xăng
Mazda CX-5  2021,17/11/2021,809000000,2021,SUV,Mới,Trong nước,0,Thái Bình,Số tự động,Xăng
