name,trademark,brand,time_up,price,year_product,style,status,origin,KM,local,box_car,fuel
Mazda 626  2002,Mazda,626,30/11/2021,165000000,2002,Sedan,Đã qua sử dụng,Trong nước,180000,Kiên Giang,Số tay,Xăng
Mazda 626  2001,Mazda,626,1/12/2021,125000000,2001,Sedan,Đã qua sử dụng,Trong nước,250000,Phú Thọ,Số tay,Xăng
Mazda 626  2000,Mazda,626,1/12/2021,125000000,2000,Sedan,Đã qua sử dụng,Trong nước,190000,Phú Thọ,Số tay,Xăng
Mazda 626   1998,Mazda,626,30/11/2021,95000000,1998,Sedan,Đã qua sử dụng,Nhập khẩu,260000,Hà Nội,Số tay,Xăng
Mazda 626  2001,Mazda,626,26/11/2021,118000000,2001,Sedan,Đã qua sử dụng,Trong nước,238989,Hà Nội,Số tay,Xăng
Mazda 626  2001,Mazda,626,25/11/2021,125000000,2001,Sedan,Đã qua sử dụng,Trong nước,250000,Phú Thọ,Số tay,Xăng
Mazda 626   2.0 MT  2001,Mazda,626,25/11/2021,125000000,2001,Sedan,Đã qua sử dụng,Trong nước,250000,Phú Thọ,Số tay,Xăng
Mazda 626  2002,Mazda,626,24/11/2021,125000000,2002,Sedan,Đã qua sử dụng,Trong nước,200000,Đà Nẵng,Số tay,Xăng
Mazda 626  1996,Mazda,626,23/11/2021,70000000,1996,Sedan,Đã qua sử dụng,Nhập khẩu,190000,Bắc Ninh,Số tay,Xăng
Mazda 626  2003,Mazda,626,23/11/2021,147000000,2003,Sedan,Đã qua sử dụng,Trong nước,193000,Tp.HCM,Số tay,Xăng
Mazda 626  1995,Mazda,626,22/11/2021,95000000,1995,Sedan,Đã qua sử dụng,Nhập khẩu,200000,An Giang,Số tay,Xăng
Mazda 626  2000,Mazda,626,22/11/2021,110000000,2000,Sedan,Đã qua sử dụng,Trong nước,150000,Đà Nẵng,Số tay,Xăng
Mazda 626  1993,Mazda,626,11/11/2021,65000000,1993,Sedan,Đã qua sử dụng,Nhập khẩu,220000,Hà Nội,Số tay,Xăng
Mazda 626  2000,Mazda,626,9/11/2021,95000000,2000,Sedan,Đã qua sử dụng,Nhập khẩu,150000,Hà Nội,Số tay,Xăng
Mazda 626  1993,Mazda,626,9/11/2021,75000000,1993,Sedan,Đã qua sử dụng,Nhập khẩu,65585,Tây Ninh,Số tay,Xăng
Mazda 626    2001,Mazda,626,6/11/2021,89000000,2001,Sedan,Đã qua sử dụng,Nhập khẩu,20000,Hà Nội,Số tay,Xăng
Mazda 626  1996,Mazda,626,6/11/2021,75000000,1996,Sedan,Đã qua sử dụng,Nhập khẩu,500000,Hải Phòng,Số tay,Xăng
Mazda 626  2003,Mazda,626,5/11/2021,140000000,2003,Sedan,Đã qua sử dụng,Nhập khẩu,100000,Tp.HCM,Số tay,Xăng
Mazda 626  1999,Mazda,626,4/11/2021,91000000,1999,Sedan,Đã qua sử dụng,Trong nước,180000,Hòa Bình,Số tay,Xăng
Mazda 626   MT  2002,Mazda,626,27/10/2021,145000000,2002,Sedan,Đã qua sử dụng,Trong nước,170000,Hà Nội,Số tay,Xăng
Mazda 626   2.0 MT  2002,Mazda,626,16/10/2021,145000000,2002,Sedan,Đã qua sử dụng,Trong nước,170000,Hà Nội,Số tay,Xăng
Mazda 626  2002,Mazda,626,13/10/2021,115000000,2002,Sedan,Đã qua sử dụng,Nhập khẩu,2200,Hải Phòng,Số tay,Xăng
Mazda 626  1996,Mazda,626,11/10/2021,68000000,1996,Sedan,Đã qua sử dụng,Nhập khẩu,300000,Quảng Ngãi,Số tay,Xăng
Mazda 626  1997,Mazda,626,6/10/2021,78000000,1997,Sedan,Đã qua sử dụng,Trong nước,28668,Vĩnh Phúc,Số tay,Xăng
Mazda 626  1994,Mazda,626,6/10/2021,65000000,1994,Sedan,Đã qua sử dụng,Trong nước,20000,Lâm Đồng,Số tay,Xăng
Mazda 626   2.0 MT  1995,Mazda,626,4/10/2021,68000000,1995,Sedan,Đã qua sử dụng,Nhập khẩu,368000,Hải Phòng,Số tay,Xăng
Mazda 626    2000,Mazda,626,30/11/2021,110000000,2000,Sedan,Đã qua sử dụng,Trong nước,50000,Gia Lai,Số tay,Xăng
Mazda 626     1994,Mazda,626,9/11/2021,125000000,1994,Sedan,Đã qua sử dụng,Nhập khẩu,26000,Hà Nội,Số tay,Xăng
Mazda 626    1994,Mazda,626,3/11/2021,68000000,1994,Sedan,Đã qua sử dụng,Nhập khẩu,256875,Hà Nội,Số tay,Xăng
Mazda 626   2.0 MT  2001,Mazda,626,27/10/2021,118000000,2001,Sedan,Đã qua sử dụng,Trong nước,270000,Bắc Giang,Số tay,Xăng
